"Species","Ocean","EEZ","Average","Max"
"Chanos chanos","South Pacific Ocean","Guam Exclusive Economic Zone",0.235381250583843,0.354009997201042
"Chanos chanos","South Pacific Ocean","Guatemalan Exclusive Economic Zone",3.99582064062359,6.75991133033502
"Chanos chanos","South Pacific Ocean","Honduran Exclusive Economic Zone",4.45621312021141,4.70975714940678
"Chanos chanos","South Pacific Ocean","Ile Europa Exclusive Economic Zone",0.408752489954421,0.489330620335784
"Chanos chanos","South Pacific Ocean","Indian Exclusive Economic Zone",1.30955212358153,4.19684721554844
"Chanos chanos","South Pacific Ocean","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",1.37527434714248,7.35963914250378
"Chanos chanos","South Pacific Ocean","Indonesian Exclusive Economic Zone",1.90385181520935,8.2923610758136
"Chanos chanos","South Pacific Ocean","Iranian Exclusive Economic Zone",2.12334876307677,2.23750106318884
"Chanos chanos","South Pacific Ocean","Japanese Exclusive Economic Zone",0.86617972736042,3.99065871588867
"Chanos chanos","South Pacific Ocean","Jarvis Island Exclusive Economic Zone",4.23813861920705,6.78828300064348
"Chanos chanos","South Pacific Ocean","Johnston Atoll Exclusive Economic Zone",1.06408615505708,1.36224213243251
"Chanos chanos","South Pacific Ocean","Joint regime area Australia / Papua New Guinea",0.643972786216456,0.978553931178051
"Chanos chanos","South Pacific Ocean","Joint regime area Japan / Korea",0.934286478448544,3.083501493053
"Chanos chanos","South Pacific Ocean","Juan de Nova Exclusive Economic Zone",0.621148247465874,0.900031849004052
"Chanos chanos","South Pacific Ocean","Kenyan Exclusive Economic Zone",0.616611934385207,0.961784403759832
"Chanos chanos","South Pacific Ocean","Kiribati Exclusive Economic Zone (Gilbert Islands)",1.82903473881495,8.2923610758136
"Chanos chanos","South Pacific Ocean","Kiribati Exclusive Economic Zone (Line Islands)",2.29563815195816,8.2923610758136
"Chanos chanos","South Pacific Ocean","Kiribati Exclusive Economic Zone (Phoenix Islands)",4.48063811077501,4.61685259363954
"Chanos chanos","South Pacific Ocean","Madagascan Exclusive Economic Zone",0.742392461363348,2.6143503933415
"Chanos chanos","South Pacific Ocean","Malaysian Exclusive Economic Zone",1.76776550948945,5.93858869813585
"Chanos chanos","South Pacific Ocean","Maldives Exclusive Economic Zone",0.533589504089619,1.23697211819852
"Chanos chanos","South Pacific Ocean","Marshall Islands Exclusive Economic Zone",0.584750943734228,3.49479279344802
"Chanos chanos","South Pacific Ocean","Mauritian Exclusive Economic Zone",0.371503567456377,1.13866583637038
"Chanos chanos","South Pacific Ocean","Mexican Exclusive Economic Zone",2.03188701492993,7.17941435439257
"Chanos chanos","South Pacific Ocean","Micronesian Exclusive Economic Zone",0.660849506312414,4.51135082551769
"Chanos chanos","South Pacific Ocean","Mozambican Exclusive Economic Zone",1.14747706621633,8.2923610758136
"Chanos chanos","South Pacific Ocean","Myanmar Exclusive Economic Zone",1.64874751359196,8.2923610758136
"Chanos chanos","South Pacific Ocean","New Caledonian Exclusive Economic Zone",0.134054121305003,0.588660752059785
"Chanos chanos","South Pacific Ocean","New Zealand Exclusive Economic Zone",0.381972063947213,3.24253882306118
"Chanos chanos","South Pacific Ocean","Nicaraguan Exclusive Economic Zone",4.10923310337604,5.68994113120845
"Chanos chanos","South Pacific Ocean","Niue Exclusive Economic Zone",0.845442547359622,0.922374975065434
"Chanos chanos","South Pacific Ocean","Norfolk Island Exclusive Economic Zone",0.284541522231308,0.516799373732287
"Chanos chanos","South Pacific Ocean","North Korean Exclusive Economic Zone",1.07291983480201,1.79152516451707
"Chanos chanos","South Pacific Ocean","Northern Mariana Exclusive Economic Zone",0.398134487218483,0.859009974332809
"Chanos chanos","South Pacific Ocean","Oecussi Ambeno Exclusive Economic Zone",0.417186664483579,0.478617722841065
"Chanos chanos","South Pacific Ocean","Omani Exclusive Economic Zone",1.76981607001829,2.23750106318884
"Chanos chanos","South Pacific Ocean","Overlapping claim Glorioso Islands: France / Madagascar",0.504825541841569,1.00327266577175
"Chanos chanos","South Pacific Ocean","Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu",0.0760665580472236,0.0809349663127812
"Chanos chanos","South Pacific Ocean","Overlapping claim Mayotte: France / Comoros",0.319681767641437,0.407021244593066
"Chanos chanos","South Pacific Ocean","Overlapping claim Senkaku Islands: Japan / China / Taiwan",1.25612876341938,2.7718380462912
"Chanos chanos","South Pacific Ocean","Overlapping claim South China Sea",1.51888936239393,4.31028782256871
"Chanos chanos","South Pacific Ocean","Overlapping claim: Kenya / Somalia",0.597584619986996,0.649019559372279
"Chanos chanos","South Pacific Ocean","Pakistani Exclusive Economic Zone",3.42091194088352,4.19684721554844
"Chanos chanos","South Pacific Ocean","Palau Exclusive Economic Zone",0.278667905294534,0.564614032741852
"Chanos chanos","South Pacific Ocean","Palmyra Atoll Exclusive Economic Zone",1.65397162402423,4.08446766174433
"Chanos chanos","South Pacific Ocean","Panamanian Exclusive Economic Zone",3.45412392862862,5.74271842884711
"Chanos chanos","South Pacific Ocean","Papua New Guinean Exclusive Economic Zone",0.552110616205072,5.02238494024219
"Chanos chanos","South Pacific Ocean","Peruvian Exclusive Economic Zone",1.83177093081484,2.1795700521944
"Chanos chanos","South Pacific Ocean","Philippines Exclusive Economic Zone",1.80280294068893,5.93858869813585
"Chanos chanos","South Pacific Ocean","Pitcairn Islands Exclusive Economic Zone",0.314926291642254,0.745995418057094
"Chanos chanos","South Pacific Ocean","Réunion Exclusive Economic Zone",0.762295917572219,1.13866583637038
"Chanos chanos","South Pacific Ocean","Samoan Exclusive Economic Zone",0.0552817070180889,0.14103847529564
"Chanos chanos","South Pacific Ocean","Saudi Arabian Exclusive Economic Zone",0.744926286298865,0.758025315397966
"Chanos chanos","South Pacific Ocean","Seychellois Exclusive Economic Zone",0.420834783139995,1.08076351119205
"Chanos chanos","South Pacific Ocean","Solomon Islands Exclusive Economic Zone",0.358893887889898,1.68960966114421
"Chanos chanos","South Pacific Ocean","Somali Exclusive Economic Zone",0.537182079303756,1.76645005583553
"Chanos chanos","South Pacific Ocean","South African Exclusive Economic Zone",0.799031677069606,1.32889368800022
"Chanos chanos","South Pacific Ocean","South Korean Exclusive Economic Zone",0.8636366167951,3.99065871588867
"Chanos chanos","South Pacific Ocean","Sri Lankan Exclusive Economic Zone",1.57659217516244,2.92666379721592
"Chanos chanos","South Pacific Ocean","Taiwanese Exclusive Economic Zone",1.31593592587878,3.83689641641529
"Chanos chanos","South Pacific Ocean","Tanzanian Exclusive Economic Zone",0.526239190051823,1.10319846570562
"Chanos chanos","South Pacific Ocean","Thailand Exclusive Economic Zone",1.70809549442353,5.81181608463546
"Chanos chanos","South Pacific Ocean","Tokelau Exclusive Economic Zone",0.144573028401531,0.179173274145741
"Chanos chanos","South Pacific Ocean","Tongan Exclusive Economic Zone",0.673703468572207,2.2028811404108
"Chanos chanos","South Pacific Ocean","Tuvaluan Exclusive Economic Zone",1.06276792224576,8.07657100413013
"Chanos chanos","South Pacific Ocean","United Arab Emirates Exclusive Economic Zone",2.10091719342002,2.19837759874004
"Chanos chanos","South Pacific Ocean","United States Exclusive Economic Zone",1.34147670194473,7.17941435439257
"Chanos chanos","South Pacific Ocean","United States Exclusive Economic Zone (Hawaii)",1.23321197237513,7.17941435439257
"Chanos chanos","South Pacific Ocean","Vanuatu Exclusive Economic Zone",0.218813929370753,0.907281956370574
"Chanos chanos","South Pacific Ocean","Vietnamese Exclusive Economic Zone",1.27709249025808,3.7978084965158
"Chanos chanos","South Pacific Ocean","Wallis and Futuna Exclusive Economic Zone",0.764507138702762,8.20953615160139
"Chanos chanos","South Pacific Ocean","Yemeni Exclusive Economic Zone",0.57081735123211,1.76645005583553
"Chanos chanos","North Pacific Ocean","American Samoa Exclusive Economic Zone",0.0522074278530743,0.123598071672531
"Chanos chanos","North Pacific Ocean","Amsterdam Island & St. Paul Island Exclusive Economic Zone",0.882074959083461,1.1871384119272
"Chanos chanos","North Pacific Ocean","Australian Exclusive Economic Zone",0.588365040160667,8.20953615160139
"Chanos chanos","North Pacific Ocean","Bangladeshi Exclusive Economic Zone",1.37482991824749,1.77552966289747
"Chanos chanos","North Pacific Ocean","Bassas da India Exclusive Economic Zone",0.408752489954421,0.489330620335784
"Chanos chanos","North Pacific Ocean","Bruneian Exclusive Economic Zone",1.08170490945108,1.39957796418751
"Chanos chanos","North Pacific Ocean","Chagos Archipelago Exclusive Economic Zone",0.372917488954427,1.09328138553954
"Chanos chanos","North Pacific Ocean","Chilean Exclusive Economic Zone",0.109979968766627,0.218820526443768
"Chanos chanos","North Pacific Ocean","Chilean Exclusive Economic Zone (Easter Island)",2.04153217240669,2.30098775429288
"Chanos chanos","North Pacific Ocean","Chilean Exclusive Economic Zone (San Felix and San Ambrosio islands)",0.136822166885793,0.190392321158897
"Chanos chanos","North Pacific Ocean","Chinese Exclusive Economic Zone",1.48424917131475,4.32391199623251
"Chanos chanos","North Pacific Ocean","Clipperton Exclusive Economic Zone",0.811584028110492,0.856149226151126
"Chanos chanos","North Pacific Ocean","Cocos Islands Exclusive Economic Zone",0.516867977782613,0.556936740424172
"Chanos chanos","North Pacific Ocean","Colombian Exclusive Economic Zone",3.48061749626681,5.74271842884711
"Chanos chanos","North Pacific Ocean","Comoran Exclusive Economic Zone",0.324848119146384,0.401075725554522
"Chanos chanos","North Pacific Ocean","Cook Islands Exclusive Economic Zone",0.870516218738751,2.35035549961659
"Chanos chanos","North Pacific Ocean","Costa Rican Exclusive Economic Zone",3.63732980624638,5.74271842884711
"Chanos chanos","North Pacific Ocean","East Timorian Exclusive Economic Zone",4.06500152963085,7.46540357669398
"Chanos chanos","North Pacific Ocean","Ecuadorian Exclusive Economic Zone",2.79037820003684,3.78668625625735
"Chanos chanos","North Pacific Ocean","Ecuadorian Exclusive Economic Zone (Galapagos)",3.65053106549039,4.92806120939777
"Chanos chanos","North Pacific Ocean","El Salvador Exclusive Economic Zone",4.28523718730869,6.75991133033502
"Chanos chanos","North Pacific Ocean","Eritrean Exclusive Economic Zone",0.744926286298865,0.758025315397966
"Chanos chanos","North Pacific Ocean","Fijian Exclusive Economic Zone",0.659491434251864,8.2923610758136
"Chanos chanos","North Pacific Ocean","French Polynesian Exclusive Economic Zone",0.460031615945377,4.27017589620629
"Chanos chanos","North Pacific Ocean","Guam Exclusive Economic Zone",0.235381250583843,0.354009997201042
"Chanos chanos","North Pacific Ocean","Guatemalan Exclusive Economic Zone",3.99582064062359,6.75991133033502
"Chanos chanos","North Pacific Ocean","Honduran Exclusive Economic Zone",4.45621312021141,4.70975714940678
"Chanos chanos","North Pacific Ocean","Ile Europa Exclusive Economic Zone",0.408752489954421,0.489330620335784
"Chanos chanos","North Pacific Ocean","Indian Exclusive Economic Zone",1.30955212358153,4.19684721554844
"Chanos chanos","North Pacific Ocean","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",1.37527434714248,7.35963914250378
"Chanos chanos","North Pacific Ocean","Indonesian Exclusive Economic Zone",1.90385181520935,8.2923610758136
"Chanos chanos","North Pacific Ocean","Iranian Exclusive Economic Zone",2.12334876307677,2.23750106318884
"Chanos chanos","North Pacific Ocean","Japanese Exclusive Economic Zone",0.86617972736042,3.99065871588867
"Chanos chanos","North Pacific Ocean","Jarvis Island Exclusive Economic Zone",4.23813861920705,6.78828300064348
"Chanos chanos","North Pacific Ocean","Johnston Atoll Exclusive Economic Zone",1.06408615505708,1.36224213243251
"Chanos chanos","North Pacific Ocean","Joint regime area Australia / Papua New Guinea",0.643972786216456,0.978553931178051
"Chanos chanos","North Pacific Ocean","Joint regime area Japan / Korea",0.934286478448544,3.083501493053
"Chanos chanos","North Pacific Ocean","Juan de Nova Exclusive Economic Zone",0.621148247465874,0.900031849004052
"Chanos chanos","North Pacific Ocean","Kenyan Exclusive Economic Zone",0.616611934385207,0.961784403759832
"Chanos chanos","North Pacific Ocean","Kiribati Exclusive Economic Zone (Gilbert Islands)",1.82903473881495,8.2923610758136
"Chanos chanos","North Pacific Ocean","Kiribati Exclusive Economic Zone (Line Islands)",2.29563815195816,8.2923610758136
"Chanos chanos","North Pacific Ocean","Kiribati Exclusive Economic Zone (Phoenix Islands)",4.48063811077501,4.61685259363954
"Chanos chanos","North Pacific Ocean","Madagascan Exclusive Economic Zone",0.742392461363348,2.6143503933415
"Chanos chanos","North Pacific Ocean","Malaysian Exclusive Economic Zone",1.76776550948945,5.93858869813585
"Chanos chanos","North Pacific Ocean","Maldives Exclusive Economic Zone",0.533589504089619,1.23697211819852
"Chanos chanos","North Pacific Ocean","Marshall Islands Exclusive Economic Zone",0.584750943734228,3.49479279344802
"Chanos chanos","North Pacific Ocean","Mauritian Exclusive Economic Zone",0.371503567456377,1.13866583637038
"Chanos chanos","North Pacific Ocean","Mexican Exclusive Economic Zone",2.03188701492993,7.17941435439257
"Chanos chanos","North Pacific Ocean","Micronesian Exclusive Economic Zone",0.660849506312414,4.51135082551769
"Chanos chanos","North Pacific Ocean","Mozambican Exclusive Economic Zone",1.14747706621633,8.2923610758136
"Chanos chanos","North Pacific Ocean","Myanmar Exclusive Economic Zone",1.64874751359196,8.2923610758136
"Chanos chanos","North Pacific Ocean","New Caledonian Exclusive Economic Zone",0.134054121305003,0.588660752059785
"Chanos chanos","North Pacific Ocean","New Zealand Exclusive Economic Zone",0.381972063947213,3.24253882306118
"Chanos chanos","North Pacific Ocean","Nicaraguan Exclusive Economic Zone",4.10923310337604,5.68994113120845
"Chanos chanos","North Pacific Ocean","Niue Exclusive Economic Zone",0.845442547359622,0.922374975065434
"Chanos chanos","North Pacific Ocean","Norfolk Island Exclusive Economic Zone",0.284541522231308,0.516799373732287
"Chanos chanos","North Pacific Ocean","North Korean Exclusive Economic Zone",1.07291983480201,1.79152516451707
"Chanos chanos","North Pacific Ocean","Northern Mariana Exclusive Economic Zone",0.398134487218483,0.859009974332809
"Chanos chanos","North Pacific Ocean","Oecussi Ambeno Exclusive Economic Zone",0.417186664483579,0.478617722841065
"Chanos chanos","North Pacific Ocean","Omani Exclusive Economic Zone",1.76981607001829,2.23750106318884
"Chanos chanos","North Pacific Ocean","Overlapping claim Glorioso Islands: France / Madagascar",0.504825541841569,1.00327266577175
"Chanos chanos","North Pacific Ocean","Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu",0.0760665580472236,0.0809349663127812
"Chanos chanos","North Pacific Ocean","Overlapping claim Mayotte: France / Comoros",0.319681767641437,0.407021244593066
"Chanos chanos","North Pacific Ocean","Overlapping claim Senkaku Islands: Japan / China / Taiwan",1.25612876341938,2.7718380462912
"Chanos chanos","North Pacific Ocean","Overlapping claim South China Sea",1.51888936239393,4.31028782256871
